,K00008,K00010,K00012,K00067,K00287,K00297,K00320,K00390,K00463,K00472,K00568,K00615,K00621,K00655,K00657,K00677,K00763,K00820,K00858,K00859,K00952,K00954,K00969,K00979,K01495,K01627,K01654,K01710,K01711,K01784,K01790,K01791,K01845,K01854,K01858,K01912,K01916,K01950,K01953,K01990,K02078,K02169,K02293,K02446,K02473,K02536,K02843,K03183,K03271,K03273,K03274,K03462,K04042,K04103,K06041,K06167,K06217,K06859,K07260,K08281,K11003,K13010,K13018,K13522,K15634,K15894,K15899,K16011,K18062,K18981,K21029,K22227
KW67,0.2910589,0,0,0.54296093,0.73543897,80.990042,2.9240565,0,0,0.31557557,0,2.3303707,0,0,0,0,0.167357445,0.045884387,1.08399311,0,0.27093214,0,0.80822873,0,0,0,0,0,0.46213944,0.41513407,0,0.027664797,0,0,0,0,0.090373605,0,0,0,0,0.23511444,0,0,0.41513407,0,0.6157926,0,0,0,0,1.357799313,0,0,0.6765125,0,1.856035281,0,0,0.209206295,0,0,0,0.959569423,0.06227766,0,0.7552668,0.80822873,0,0.009334949,0,0
KW78,0.80080855,0,0.07445254,0.043468904,0.79844934,11.82217,4.523371,0,0,0.8103786,0.07445254,2.5488465,0,0.011081124,0,0,0.53263436,0.13076572,2.2903153,0.011081124,3.8811835,0.011081124,1.13410103,0.16432653,0,0.16432653,0,0.16142222,0.36102253,0.42080477,0,0,0,0,0,0,0.47497485,0,0,0,0.21016172,0.023221519,0.07445254,0,0.42080477,0,0,0,0,0,0,1.492886667,0,0,2.0531044,0,3.08832675,0,0,0.30943182,0,0,0,1.084541672,0,0,1.35868656,0.968558,0,0.0958863,0,0
KW89,0.50853944,0.003774087,0,0.2724391,0.028592553,99.168359,1.9204632,0,0,0.026092446,0,1.0254486,0,0,0,0,0.077732009,0.68452871,0.266240609,0,0.2761153,0,0.02301267,0.05750046,0,0.05750046,0.003774087,0,0.322568104,0.015269983,0,0,0.003774087,0,0,0,0.06316047,0,0,0,0,0.037919365,0,0,0.015269983,0,0.1721465,0,0,0,0,0.206081583,0,0,0.23640114,0,0.745887141,0,0,0.06316047,0,0,0,0.124566681,0,0.003774087,0.196132735,0.02301267,0,0.097705266,0,0
KW101N,0.23327786,0,0,0,0,0,0,0,40.772,0,0,0.36317268,0,0,62.459824,0,40.772,0,0,0,0,40.772,40.772,0,0,0,0,0,0.28681886,0,0,0,0,0,0,40.772,0,40.772,0,0,0,0,0,40.772,0,0,0,0,0,0,24.419579,0,0,40.772,0,650.6532,40.772,0,0,40.772,0,40.772,0,0,0,0,0.182610376,0,0,0,0,0
KW101S,8.765611,0.36723644,0.233991384,0.55514728,2.03916824,554.351751,90.64,139.24994,2.8107154,3.664238965,202.2665068,34.82552,0.1459972,0.80210173,0,0,6.5708253,1.88449231,44.9562125,0.80210173,48.936352,3.61281713,6.7700841,0,0.16715956,0,0.36723644,0,11.9336461,0.98797384,0,138.60703,0.36723644,0,0,2.8107154,3.1384243,2.8107154,0,0.020600688,0.45348778,0.04099703,0.109536804,2.8107154,0.84197664,0,4.606433,0,0,0.03745692,1.673369,46.68160021,0.1459972,2.8107154,41.68412,0,20.47353247,0,8.751041,3.9033042,0.0551609,2.8107154,1.4977,7.12530826,0.9882041,0.36723644,61.836609,1.9135332,0,2.7367779,8.751041,0
KW910,0,0,0,0,0,11.1403435,0.06914835,0,0,0,0,0.22587807,0,0,0,0,0,0.3220616,0.15469164,0,0,0,0,0,0,0,0,0,0.10433174,0,0,0,0,0,0,0,0,0,0,0,0.011898972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002470849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRZ12,1.0498677,0.28568882,0,0.146277526,0.25579083,213.468667,14.020647,0,0,0.34387593,0,13.43889,0,0,0,0,0.05206604,0,2.68108254,0,3.0130461,0,0.15116535,0.06594908,2.1221897,0.06594908,0.28568882,0.5542588,1.43433048,49.77123673,0,0,0.28568882,73.991765,0,0,0,0,0,0,0.109334946,1.6309088,0,0,0.10508173,0,5.182806,0,0,0,0,2.868516302,0,0,4.177957,0,11.90713398,49.666155,0.087579,0.089299366,0,0,0,3.14282827,0,0.28568882,0.09420424,0.15116535,0,0.3479414,0.087579,0
PRZ23,0.9928243,0.46419474,0.009230457,0.213202106,0.1406699,158.390813,13.526432,0.035351854,0,0.45235932,0.009230457,7.83131,0,0.032971505,0,0,0.147921396,0.19328548,1.50873712,0.032971505,1.9885478,0.032971505,0.091489255,0.017462427,1.0066594,0.017462427,0.46419474,0.28017867,7.80278127,29.36938767,0,0,0.46419474,43.940269,0,0,0.057543986,0,0,0,0.034740504,1.3991703,0.009230457,0,0.20868167,0,2.8230937,0,0,0,0,4.202599985,0,0,2.2614832,0.005501489,7.406816325,29.160706,0,0.057543986,0.04648304,0,0,1.929996932,0,0.46419474,0,0.091489255,0,0.129067453,0,0
PRZ34,0.45975783,0.4060349,0,0.085102599,0.41618204,136.737947,6.7585487,0.013642303,0,45.91859952,0.003633899,5.5113697,0,0.004771397,0,0.019929089,3.099002,0.079206583,1.234604524,0.004771397,1.2897586,0.004771397,0.16880567,0.070757,0.51235071,0.070757,0.4060349,0.25485694,25.35668693,21.93789042,0,0.0038237,0.4060349,32.263111,0,0,0,0,0,0,0.018240113,0.7999122,0,0,0.28990942,0.019929089,0.37449282,0,0,0,0,1.376251663,0,0,1.4450684,0,2.905641499,21.647981,0,0,0,0,0,0.795205929,0.034430917,0.4060349,0.04310214,0.16880567,0,0.051609337,0,0
PRZ45,0.08102457,0.031569175,0,0,0.079722896,69.7645235,2.2826178,0,0,21.71283538,0,2.5228205,0,0,0,0,0.02265845,0.013458182,0.156789952,0,0.061102537,0,0.055415086,0,0.04490542,0,0.031569175,0.18374006,0.6195009,1.164169186,0,0,0.031569175,1.7448511,0,0,0,0,0,0,0,0.3348062,0,0,0.021288186,0,0.3299902,0,0,0,0,0.163728332,0,0,0.29961047,0,0.211389491,1.142881,0,0,0,0,0,0.123266036,0,0.031569175,0.037980128,0.055415086,0,0,0,0
PRZ56,0.041454393,0.010767772,0,0,0.089734524,102.098094,3.9162488,0,0,5.9637876,0,2.968712,0,0,0,0,0.04637074,0.043234516,0.8397626,0,0.91282606,0,0.14922042,0.20050974,0.49931997,0.20050974,0.010767772,0.04178065,3.38759108,17.54230842,0,0,0.010767772,26.1100615,0,0,0,0,0,0,0,1.0187607,0,0,0.17426592,0,0.36836085,0,0,0,0,0.818472362,0,0,0.84308916,0,1.321658261,17.3680425,0,0,0,0,0,0.228780299,0,0.010767772,0,0.14922042,0,0.013960177,0,0
PRZ67,0.05766868,0,0,0,0,36.1386494,0.8306416,0.008555955,0,0.12245663,0,0.8978001,0,0,0,0,0,0,0.1639612,0,0,0,0,0,0.042614833,0,0,0,0.2211672,1.05481134,0,0,0,1.59201924,0,0,0,0,0,0,0,0.02508379,0,0,0,0,0.29892322,0,0,0,0,0,0,0,0,0,0.015713455,1.05481134,0,0,0,0,0,0.096584894,0,0,0,0,0,0,0,0
PRZ78,0,0,0,0,0,1.27366696,0.12690024,0,0,0,0,0,0,0,0,0,0.05425567,0,0,0,0,0,0,0,0,0,0,0,0,0.2060319,0,0,0,0.29162769,0,0,0.05425567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010202563,0.2060319,0,0.05425567,0,0,0,0,0,0,0,0,0,0,0,0
PRZ89,0,0,0,0,0,2.59513536,0.0395845,0,0,0,0,0,0,0,0,0,0.003604174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2844995,0,0,0,0,0,0,0,0,0,0.08254403,0,0,0,0,0.100057782,0,0,0,0,0,0,0,0,0,0.043799587,0,0,0,0,0
PRZ910,0,0,0,0,0,6.0807586,0.041164532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006995457,0,0,0,0,0,0.8695327,0.26733464,0,0,0,0.4006114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008825489,0.26733464,0,0,0,0,0,0.006995457,0,0,0,0.006995457,0,0,0,0
PRZ1015,0.013326935,0,0,0,0.005167057,6.08367187,0.01129159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034073737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06899467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRZ1520,0,0,0,0,0,0.084182517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013394667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS01,3.727773,0.15288764,0.022801146,3.9609651,0.07721864,268.213395,30.42088,0.116435215,0,0.74519367,0.115845656,26.47205,0,0.24433939,0,0,0.86848689,1.49195574,11.82302053,0.24433939,6.0604528,0.24433939,0.44543444,2.6744208,1.1457682,2.6744208,0.15288764,0,40.41549305,0,0,0.09790429,0.15288764,0,0,0,0.58847723,0,0,0.21441163,0.1556769,2.048143,0.022801146,0,0,0,99.0836,0,0,0,0,13.4756896,0,0,5.8039827,0,13.69325829,0,1.3748031,0.28429118,0,0,0,10.24353178,0.5877265,0.15288764,49.674088,0.14124839,0,0,1.3748031,0
WS12,4.3391576,0.064405456,0.013641678,6.65211856,0.7806991,248.901274,16.22896,0.018393565,0,0.630462885,0,13.767958,0.048009004,0.025732605,0,0,1.06690485,0.259482159,12.8465841,0.025732605,15.400116,0.025732605,1.852961,0.54514194,0.163122545,0.54514194,0.064405456,0,8.84702118,1.358066263,0,0,0.064405456,0.01421786,0,0,0.9808282,0,0,0.07451653,1.37024084,2.88499,0,0,1.3029246,0,7.527883,0,0,0,0,14.13252448,0.048009004,0,13.9364195,0,10.44693749,0.007132659,0,0.4041917,0.130542837,0,0,7.450008133,0.18568927,0.064405456,14.152147,1.2763245,0,0.09741696,0,0
WS23,2.2829838,0.0110842,0,5.535249047,0.041987054,200.019741,6.1283503,0.004748016,0,0.114299975,0,7.68417,0,0,0,0,0.287995243,0.88123294,4.773828095,0,5.3085012,0,0.106810413,27.667253,0,27.667253,0.0110842,0,2.01727446,0,0,0,0.0110842,0,0,0,0.264951523,0,0,0.01165847,1.73718516,0.79812455,0,0,0,0,2.812294,0,0,0,0,4.173883654,0,0,5.743686,0,5.486159341,0,0,0.23187175,0.014945045,0,0,3.00396364,0,0.0110842,2.55379286,0.07373064,0,0.150775507,0,0
