,A5S03,A5S04,A502N,A502S,A505S,A506N,A506S,A509N,A509S,KW01,KW1S05,KW1S08,KW1S11,KW1S15,KW1S21,KW12,KW23,KW34,KW45,KW56,KW67,KW78,KW89,KW101N,KW101S,KW910,PRZ12,PRZ23,PRZ34,PRZ45,PRZ56,PRZ67,PRZ78,PRZ89,PRZ910,PRZ1015,PRZ1520,WS01,WS12,WS23,WS34,WS45,WS56,WS67,WS78,WS89,WS910,WS1015,WS1520
KW1S21_k141_5631926_flag=1_multi=7.0000_len=11133_vibrant_11133,0.8892348,1.9749498,0,0.06633144,2.3312016,0,0.28373522,0,0,0,3.681169,0,0.0917467,0.8194165,38.672897,1.0735823,0,0.687788,0.3853439,0.9317779,0,0.16212302,0.5956589,0,0,0.16522394,0,0,0,0,0,0,0,0,0,0,0,4.1706247,0.18824118,0.2915673,0.17107664,0,0.034010638,0,0,0,0,0.058988977,0
KW1S21_k141_5650653_flag=1_multi=9.9540_len=41408_vibrant_41408,1.135633,3.2617784,0,0.12483759,2.7467246,0,0.15257071,0,0.34024107,0.24319306,4.663901,0,0.19733694,0.53133404,51.714565,0.43296674,0.70900154,0.27737913,0.35225356,1.3436918,0.016974151,0.13076572,0.66432387,0,0,0.3220616,0,0,0,0,0,0,0,0,0,0,0,1.3616014,0.025305364,0.5400277,0.2759751,0.032893084,0,0,0,0,0.061807346,0.14273857,0
KW1S21_k141_3860127_flag=1_multi=6.4661_len=23782_vibrant_23782,10.528287,15.832537,0,22.357115,12.261064,0,17.399963,0.12717487,44.769295,21.383484,28.84682,26.737757,38.783062,27.844206,31.318127,20.270445,19.67448,16.58157,2.9944732,2.2999136,0.76841754,1.4799367,0.24786144,0,42.273643,0.15469164,2.5229852,1.383151,1.176448,0.14397857,0.8397626,0.1639612,0,0,0,0,0,11.5748415,12.336913,4.746839,11.58572,5.125822,3.677821,0,0.14442785,0,1.2913895,1.1598023,0.2566851
KW1S21_k141_6682620_flag=0_multi=6.9884_len=11558_vibrant_11558,10.2784395,15.422452,0,23.83185,11.557621,0,17.491325,0,48.06173,24.39556,27.929316,26.280254,40.82836,26.000002,36.8381,17.924494,12.224173,19.212421,2.5982208,2.0398078,0.3648723,0.7808079,0.29750305,0.22745164,32.808243,0,5.1182337,2.149022,1.1094811,0.2962535,0.5759715,0,0,0,0,0.13643792,0,8.895376,13.870931,5.7105374,9.173085,3.9477623,4.4881244,0,0.23774238,0,1.5500286,2.102336,0.38291675
KW1S21_k141_3972855_flag=1_multi=6.0000_len=13598_vibrant_13598,6.036642,7.3628407,0,4.3988748,7.2414875,0,5.923666,0,10.804901,10.738124,23.491587,15.416631,23.360817,17.955784,17.67306,10.254614,10.525216,9.150507,2.4608223,0.20805499,0.5685779,0.53093565,0.3070577,0,7.1473246,0,6.587727,4.739342,1.5431473,0.05036179,0.69569486,0.10753397,0,0,0,0,0,7.5608735,4.1611714,2.2810352,3.4549227,1.3522208,1.2251934,0,0,0.051626813,1.1292772,0.3380696,0
KW1S21_k141_1805924_flag=0_multi=6.0000_len=12434_vibrant_12434,2.355401,2.1156518,0,6.2360573,19.276665,0,3.0485675,0,5.6653943,2.8346055,5.5083823,12.49471,10.350525,10.357821,46.951935,3.204169,2.3611336,2.7712035,0.8280586,1.6685674,0.39569405,0.14515969,0.25679028,0,45.873394,0,0.9515288,1.2957531,0.343772,0.055076372,1.2116792,0,0,0,0,0,0,0.80019474,1.769723,1.189273,1.5317647,1.6431199,0.6699445,0,0,0,0.20583227,0.68661857,0
KW1S21_k141_3908432_flag=1_multi=9.0000_len=16018_vibrant_16018,0,0,0,0,0,0,0,0,0,0,0,0.09326,0,0,48.173443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022516467,0.0396345,0.04251582,0.04727687,0,0,0,0,0,0
KW1S21_k141_1832027_flag=1_multi=8.0468_len=13217_vibrant_13217,28.275656,22.903494,0,2.6260111,20.271568,0.12462192,7.408909,0.04358705,30.303526,20.571516,27.609312,46.038456,77.66687,46.650375,54.32194,10.851652,9.16268,10.138459,3.375679,2.9253843,0.74450475,0,0.3902406,0,5.4246073,0,4.156093,3.8093445,0.55861086,0.4663219,0.47716618,0.4056573,0,0,0,0,0,81.301285,9.513607,3.083572,5.76408,3.0915568,0.5729598,0,0.103950456,0,1.6459262,0.8943812,0.19629312
KW1S21_k141_679438_flag=1_multi=7.0000_len=10902_vibrant_10902,0,0,0,0,0,0,0,0,0,0,0,0.04567476,0,0,36.265114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S21_k141_4152132_flag=3_multi=113.0000_len=53921_vibrant_53921,0.08414962,0.30582404,0,3.0266762,0,0,0,0,1.4930522,0,0.23946665,2.6041958,0.1515426,0,591.247,0,0,0.14200671,0.09547376,0.017489363,0.026070202,0,0.004554998,0,0,0,0.7522948,0.48554394,0.12251227,0.21590722,0.097468294,0.00903944,0,0,0,0,0,0,0.01943296,0.24748698,0.04709597,0,0.035110664,0,0,0,0,0.048717517,0
KW1S21_k141_4976412_flag=1_multi=21.8179_len=16520_vibrant_16520,0.124846786,0.047533546,0,0.044701446,0,0,0,0,0,0,0,0.030142022,0.18548717,0.03248314,188.57095,0,0,0.115876876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S21_k141_7120177_flag=1_multi=9.0000_len=16881_vibrant_16881,0.61088467,1.604838,0,0.5249461,2.306137,0,0.4678076,0.05545562,0.5961352,0.44740266,2.0286484,0.61944616,8.289437,0.9854431,48.572025,0.7080263,0.21739186,0.22679769,0.30496064,0.11172844,0,0.2138399,0.05819798,0,1.3213521,0.1634475,0,0,0,0,0,0,0,0,0,0,0,0,0.18621728,0.08546147,0.3760828,0,0.08971991,0,0,0,0,0.077806324,0
KW1S21_k141_3576436_flag=1_multi=9.0000_len=19700_vibrant_19700,1.7379179,0.9167943,0,13.45736,1.2011814,0,7.0552425,0,2.0433216,6.006301,2.3083088,6.4202204,5.9107323,2.369851,48.40207,9.9096,4.470813,3.0123281,0.7839655,0.90953475,0.2854277,0.18324018,0,0,12.697615,0,0.21449074,0.23853587,0.039450493,0.03476242,0,0,0,0,0,0,0,0.16835232,0.106380165,0.05492418,0.22558668,0.34569466,0.038440656,0,0,0,0,0.03333626,0
KW1S21_k141_3620696_flag=1_multi=6.0000_len=14336_vibrant_14336,0,0.05477498,0,0.10302286,0.37272042,0,0.110171035,0,0.7019642,0,0.2349624,0.3126057,0.35624164,0.41174918,38.64287,0,0.12799218,0.26705995,0,0,0,0,0,0,0,0,0,0,0,0.023884613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
